,eventID,year,longitude,latitude,magnitude
8351,10008352,1959,107.1484,52.762,5.45
8408,10008409,1959,92.426,21.544,5.73
8418,10008419,1959,88.708,36.231,5.84
8463,10008464,1960,95.832,16.046,5.64
8615,10008616,1960,90.297,26.488,5.64
8646,10008647,1960,98.394,28.839,5.96
8665,10008666,1960,95.857,32.441,5.62
8672,10008673,1960,107.925,52.871,5.74
8697,10008698,1960,103.629,32.706,6.29
8712,10008713,1960,104.521,43.099,6.77
8713,10008714,1960,104.386,43.224,5.71
8848,10008849,1961,98.619,24.845,5.62
8849,10008850,1961,106.044,21.48,5.68
8861,10008862,1961,99.687,27.857,6.08
8945,10008946,1961,92.538,50.898,5.59
8952,10008953,1961,95.252,33.344,6.08
8954,10008955,1961,93.362,13.382,5.94
8984,10008985,1962,96.999,26.099,6.27
8989,10008990,1962,93.276,13.503,5.79
9037,10009038,1962,95.925,36.929,6.6
9055,10009056,1962,101.066,25.405,5.96
9087,10009088,1962,108.658,53.623,5.62
9113,10009114,1962,96.917,26.334,6.11
9146,10009147,1962,93.076,13.286,6.24
9159,10009160,1962,106.192,37.952,5.66
9199,10009200,1963,101.168,84.88,5.63
9242,10009243,1963,96.993,35.613,6.7
9245,10009246,1963,103.54,46.727,5.67
9246,10009247,1963,99.646,25.656,5.75
9304,10009305,1963,92.031,25.0,5.63
9308,10009309,1963,92.167,24.905,5.7
9405,10009406,1963,110.853,42.988,5.77
9440,10009441,1963,92.545,47.376,5.7
9548,10009549,1964,98.9,30.1,5.17
9623,10009624,1964,95.41,25.64,4.19
9700,10009701,1964,93.594,22.307,6.21
9758,10009759,1964,97.15,29.21,5.49
9933,10009934,1964,100.99,26.11,4.95
9980,10009981,1964,91.18,27.4,5.6
10096,10010097,1964,94.3791,21.5842,6.15
10104,10010105,1964,94.44,18.28,5.28
10106,10010107,1964,91.0,53.55,4.95
10270,10010271,1964,95.6654,37.0084,6.25
10282,10010283,1964,93.57,50.98,4.41
10323,10010324,1964,94.39,23.47,5.39
10339,10010340,1964,89.5,49.24,4.63
10396,10010397,1964,95.71,25.82,5.49
10404,10010405,1964,89.36,27.13,5.28
11119,10011120,1964,92.6,50.8,4.95
11197,10011198,1964,90.17,27.52,5.6
11259,10011260,1964,88.07,21.6,5.49
11529,10011530,1964,93.74,13.88,5.39
11559,10011560,1964,100.75,25.91,5.17
11866,10011867,1964,105.0,84.75,4.52
11935,10011936,1964,103.33,35.38,5.17
11962,10011963,1964,95.689,26.0,5.6
12046,10012047,1964,93.14,31.76,5.28
12085,10012086,1964,93.95,23.0,5.49
12257,10012258,1964,93.1,13.83,5.39
12521,10012522,1964,95.182,24.798,5.59
12531,10012532,1964,94.654,23.48,5.71
12738,10012739,1964,96.074,14.117,6.4
12740,10012741,1964,96.037,14.08,5.39
12746,10012747,1964,96.15,14.23,5.93
12759,10012760,1964,96.139,14.194,5.49
12958,10012959,1964,94.18,24.32,5.06
13133,10013134,1964,88.21,27.36,5.39
13157,10013158,1964,92.229,26.982,5.76
13208,10013209,1964,101.41,26.43,5.39
13469,10013470,1964,94.89,30.2,5.39
13519,10013520,1964,96.16,15.38,5.28
13581,10013582,1964,94.5,27.9,4.41
13812,10013813,1964,93.798,28.065,6.78
13853,10013854,1964,88.6,27.9,5.06
13862,10013863,1964,94.45,43.08,5.28
13891,10013892,1964,97.07,26.2,5.06
13954,10013955,1964,96.13,25.0,4.95
14022,10014023,1964,92.2,29.84,4.63
14127,10014128,1964,91.0,85.2,4.63
14173,10014174,1964,100.9,23.8,4.63
14246,10014247,1964,96.13,26.39,5.28
14334,10014335,1964,89.4,31.49,4.74
14754,10014755,1965,111.646,34.929,5.06
14796,10014797,1965,111.64,34.92,5.17
14827,10014828,1965,111.6,35.08,5.39
14828,10014829,1965,111.668,34.974,5.28
14838,10014839,1965,111.5,35.28,4.52
14868,10014869,1965,95.571,37.091,5.06
14900,10014901,1965,94.547,20.049,5.39
15777,10015778,1965,91.9,48.71,4.74
15987,10015988,1965,94.186,25.011,5.61
16173,10016174,1965,94.64,23.63,5.39
16327,10016328,1965,101.61,44.6,5.39
17210,10017211,1965,104.85,29.37,5.6
17215,10017216,1965,92.33,26.82,5.28
17489,10017490,1965,110.7,34.6,5.06
17514,10017515,1965,95.84,28.42,4.63
17821,10017822,1965,102.47,24.28,5.06
17904,10017905,1965,95.8,25.93,5.6
17938,10017939,1965,94.83,20.13,5.6
17939,10017940,1965,94.7,19.9,5.39
18002,10018003,1965,95.22,31.78,4.95
18127,10018128,1965,95.33,24.68,5.28
18198,10018199,1965,95.51,29.67,5.6
18243,10018244,1965,93.67,24.94,5.6
18440,10018441,1965,101.496,22.338,5.88
18450,10018451,1965,94.8,21.2,4.74
18653,10018654,1965,93.25,32.78,5.06
18654,10018655,1965,93.21,32.86,5.28
18656,10018657,1965,93.15,32.81,5.06
18667,10018668,1965,93.2,32.75,5.49
18676,10018677,1965,93.29,32.77,4.95
18684,10018685,1965,91.13,33.31,5.49
19102,10019103,1965,99.326,20.682,5.93
19205,10019206,1965,96.18,29.14,5.17
19260,10019261,1965,93.79,14.43,5.49
19263,10019264,1965,94.79,17.54,5.39
19301,10019302,1965,109.45,40.45,5.06
19495,10019496,1965,111.9,50.64,4.84
19534,10019535,1965,100.15,31.08,5.28
19594,10019595,1965,94.46,23.34,5.39
19618,10019619,1965,92.51,27.43,5.49
19619,10019620,1965,92.5,26.7,5.6
19661,10019662,1965,94.47,22.0,5.49
19825,10019826,1966,95.42,13.248,5.84
20144,10020145,1966,99.67,27.94,5.39
20223,10020224,1966,103.187,26.246,6.39
20224,10020225,1966,103.14,25.99,5.17
20228,10020229,1966,102.98,26.52,5.49
20233,10020234,1966,103.15,26.24,5.39
20338,10020339,1966,103.222,26.12,5.9
20362,10020363,1966,103.37,25.91,4.84
20406,10020407,1966,103.21,26.2,5.06
20494,10020495,1966,91.44,26.35,5.06
20642,10020643,1966,98.62,29.19,5.28
20755,10020756,1966,97.46,32.47,4.95
20913,10020914,1966,90.04,25.91,4.63
21092,10021093,1966,92.483,12.01,5.81
21419,10021420,1966,96.47,24.9,5.06
21547,10021548,1966,92.8,22.1,4.95
21629,10021630,1966,98.88,51.86,5.28
21825,10021826,1966,95.54,24.21,4.95
21894,10021895,1966,96.57,27.43,5.06
22009,10022010,1966,93.5,24.6,4.52
22075,10022076,1966,96.0,84.95,5.17
22076,10022077,1966,92.7,85.3,4.63
22099,10022100,1966,99.69,45.19,5.28
22276,10022277,1966,99.6,45.0,4.95
22378,10022379,1966,92.84,26.14,5.28
22383,10022384,1966,104.42,31.82,4.95
22514,10022515,1966,92.6,27.84,5.17
22768,10022769,1966,92.4,12.3,5.06
22840,10022841,1966,104.1,84.53,4.84
22983,10022984,1966,91.7,31.0,4.95
23302,10023303,1966,104.63,51.77,5.06
23377,10023378,1966,93.1,12.2,5.49
23495,10023496,1966,95.6,26.9,5.17
23603,10023604,1966,101.91,22.67,4.84
23605,10023606,1966,102.17,22.83,5.39
23620,10023621,1966,97.73,24.01,5.06
23642,10023643,1966,97.68,24.09,5.17
23661,10023662,1966,104.51,26.18,5.06
23685,10023686,1966,94.84,24.68,4.41
23700,10023701,1966,92.576,27.419,5.89
23705,10023706,1966,96.24,15.56,4.95
23724,10023725,1966,93.7,14.75,4.95
23732,10023733,1966,100.103,27.412,6.35
23733,10023734,1966,100.2,27.3,4.63
23736,10023737,1966,100.1,27.4,4.84
23768,10023769,1966,94.81,24.41,5.17
23877,10023878,1966,103.74,27.96,5.28
23990,10023991,1966,94.87,24.28,5.39
24036,10024037,1966,94.28,23.04,5.39
24107,10024108,1966,93.72,23.84,4.95
24113,10024114,1966,101.5,44.6,4.84
24241,10024242,1966,104.2,32.9,4.95
24262,10024263,1966,96.6,25.9,4.74
24407,10024408,1966,95.32,18.35,5.49
24411,10024412,1966,88.09,43.2,4.95
24730,10024731,1966,94.322,21.487,5.73
24950,10024951,1966,110.8,55.55,5.06
24953,10024954,1966,110.9,55.2,4.84
25083,10025084,1967,94.19,23.55,5.49
25095,10025096,1967,103.036,48.168,7.0
25096,10025097,1967,103.041,48.4179,5.93
25109,10025110,1967,102.87,48.31,4.84
25110,10025111,1967,103.013,48.04,5.93
25116,10025117,1967,102.8,48.5,4.74
25133,10025134,1967,102.8,48.25,4.74
25138,10025139,1967,103.01,48.17,5.39
25236,10025237,1967,94.72,23.94,4.63
25268,10025269,1967,110.85,55.65,5.39
25329,10025330,1967,102.96,48.1,5.49
25349,10025350,1967,103.064,48.105,6.4
25350,10025351,1967,103.07,48.07,5.28
25351,10025352,1967,102.92,47.95,5.28
25354,10025355,1967,103.09,48.05,5.28
25357,10025358,1967,102.51,48.8,4.84
25358,10025359,1967,103.12,48.12,4.74
25361,10025362,1967,103.06,48.17,5.06
25381,10025382,1967,103.1,48.04,5.39
25383,10025384,1967,102.95,48.19,5.28
25412,10025413,1967,104.24,30.29,5.39
25492,10025493,1967,103.14,48.02,5.17
25513,10025514,1967,90.54,25.4,5.06
25522,10025523,1967,96.115,26.107,5.62
25525,10025526,1967,103.04,48.02,5.17
25622,10025623,1967,93.8,23.13,5.39
25645,10025646,1967,96.5,27.7,4.84
25664,10025665,1967,106.48,52.16,5.6
25711,10025712,1967,96.463,13.555,6.75
25725,10025726,1967,93.99,20.33,5.6
25868,10025869,1967,92.52,27.38,4.95
25903,10025904,1967,89.89,51.11,4.52
26105,10026106,1967,94.336,28.412,5.39
26151,10026152,1967,94.248,28.463,5.7
26171,10026172,1967,96.45,26.91,4.95
26381,10026382,1967,100.14,27.32,4.63
26696,10026697,1967,95.0,24.04,4.95
26811,10026812,1967,94.95,24.76,4.95
26964,10026965,1967,103.61,29.28,5.28
27446,10027447,1967,97.08,49.47,5.17
27462,10027463,1967,96.15,26.69,4.84
27487,10027488,1967,97.24,49.5,4.74
27617,10027618,1967,94.68,23.05,4.84
27661,10027662,1967,96.1,25.4,4.52
27787,10027788,1967,94.8,23.5,4.63
27837,10027838,1967,89.1,39.3,4.52
27964,10027965,1967,92.14,27.87,5.06
28530,10028531,1967,93.639,31.079,5.73
28590,10028591,1967,106.42,32.8,5.28
28600,10028601,1967,95.76,37.05,4.95
28694,10028695,1967,94.27,23.2,4.52
28749,10028750,1967,100.262,31.633,6.4
28750,10028751,1967,100.28,31.69,5.17
28753,10028754,1967,100.255,31.587,5.83
28840,10028841,1967,91.9,24.0,5.17
28845,10028846,1967,93.48,14.596,5.67
28915,10028916,1967,99.33,44.99,5.06
28975,10028976,1967,91.91,27.338,5.79
29055,10029056,1967,102.97,48.21,4.84
29083,10029084,1967,94.7,31.96,5.06
29394,10029395,1967,104.9,36.82,5.28
29427,10029428,1967,94.89,23.38,4.84
29464,10029465,1967,99.9,31.61,5.28
29726,10029727,1967,91.75,25.46,4.95
29776,10029777,1967,91.61,24.05,5.17
30140,10030141,1967,94.88,22.49,5.28
